Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
513,1481686.005500001,1484352.026499999,1479726.0
514,1503059.119500018,1482485.0234999992,1478371.01
515,1474104.011500002,1480483.016499999,1474088.02
516,1474156.0095000016,1479338.0124999993,1474155.0
517,1473782.0035000006,1475487.0074999996,1473779.01
518,1474062.011500002,1478247.0044999998,1474057.02
519,1473786.0035000006,1477598.0174999996,1473782.03
520,1474206.0095000016,1477445.0184999995,1474201.04
521,1475960.011500002,1478919.0194999997,1475955.05
522,1479633.0095000016,1482691.0084999995,1479628.06
523,1481189.0215000035,1486015.015499999,1479628.0
524,1474059.0155000023,1480741.0134999992,1474056.01
525,1473788.0035000006,1480452.011499999,1473785.0
526,1473922.021500002,1485615.0134999992,1473912.0
527,1473987.0035000006,1476206.0084999995,1473975.01
528,1473892.0035000006,1486555.0074999996,1473879.02
529,1473819.011500002,1473806.0315,1473806.03
530,1473912.0095000016,1479880.0094999997,1473912.0
531,1473881.0135000006,1479952.0044999998,1473879.01
532,1475032.0035000006,1480059.015499999,1475032.0
533,1474662.0035000006,1487694.0124999993,1474661.01
534,1474652.005500001,1477567.0094999997,1474650.02
535,1473814.021500002,1480318.0144999991,1473814.0
536,1473903.011500002,1475805.0064999997,1473901.0
537,1476459.0135000006,1482406.0104999994,1476415.0
538,1476434.0135000022,1481940.0134999992,1476434.01
539,1473831.0035000006,1476966.0164999997,1473830.02
540,1474712.005500001,1480095.0074999996,1474707.03
541,1473829.005500001,1475172.0044999998,1473824.04
542,1474258.0035000006,1488973.0084999995,1474256.0
543,1473912.005500001,1479285.011499999,1473912.0
544,1473835.0035000006,1476993.0064999997,1473834.0
545,1474147.0035000006,1474147.0015,1474147.0
546,1474178.0075000012,1480281.0094999997,1474178.0
547,1473884.005500001,1480242.0124999993,1473883.0
548,1473881.0035000006,1478635.016499999,1473881.0
